Estacion,Fecha inicial,Fecha final,PM10
CAM NORTE,2020 Jun 28 12:00:00 AM,,"19,12"
CAM NORTE,2020 Jun 26 12:00:00 AM,,"13,05"
CAM NORTE,2020 Jun 24 12:00:00 AM,,"28,08"
CAM NORTE,2020 Jun 22 12:00:00 AM,,"27,48"
CAM NORTE,2020 Jun 20 12:00:00 AM,,"23,3"
CAM NORTE,2020 Jun 18 12:00:00 AM,,"27,57"
CAM NORTE,2020 Jun 16 12:00:00 AM,,"24,56"
CAM NORTE,2020 Jun 14 12:00:00 AM,,"28,62"
CAM NORTE,2020 Jun 12 12:00:00 AM,,"14,62"
CAM NORTE,2020 Jun 10 12:00:00 AM,,"18,69"
CAM NORTE,2020 Jun 08 12:00:00 AM,,"18,12"
CAM NORTE,2020 Jun 06 12:00:00 AM,,"18,58"
CAM NORTE,2020 Jun 04 12:00:00 AM,,"23,19"
CAM NORTE,2020 Jun 02 12:00:00 AM,,"19,24"
CAM NORTE,2020 May 29 12:00:00 AM,,"22,7"
CAM NORTE,2020 May 27 12:00:00 AM,,"14,72"
CAM NORTE,2020 May 25 12:00:00 AM,,"21,65"
CAM NORTE,2020 May 23 12:00:00 AM,,"16,04"
CAM NORTE,2020 May 21 12:00:00 AM,,"20,48"
CAM NORTE,2020 May 19 12:00:00 AM,,"22,99"
CAM NORTE,2020 May 17 12:00:00 AM,,"22,97"
CAM NORTE,2020 May 15 12:00:00 AM,,"16,67"
CAM NORTE,2020 May 13 12:00:00 AM,,"15,95"
CAM NORTE,2020 May 11 12:00:00 AM,,"23,75"
CAM NORTE,2020 May 09 12:00:00 AM,,"22,03"
CAM NORTE,2020 May 07 12:00:00 AM,,"19,06"
CAM NORTE,2020 May 05 12:00:00 AM,,"18,65"
CAM NORTE,2020 May 03 12:00:00 AM,,"16,35"
CAM NORTE,2020 May 01 12:00:00 AM,,"12,79"
CAM NORTE,2020 Mar 21 12:00:00 AM,,"20,22"
CAM NORTE,2020 Mar 19 12:00:00 AM,,"13,5"
CAM NORTE,2020 Mar 17 12:00:00 AM,,"15,29"
CAM NORTE,2020 Mar 15 12:00:00 AM,,"28,47"
CAM NORTE,2020 Mar 13 12:00:00 AM,,"23,09"
CAM NORTE,2020 Mar 11 12:00:00 AM,,"26,32"
CAM NORTE,2020 Mar 09 12:00:00 AM,,"14,12"
CAM NORTE,2020 Mar 07 12:00:00 AM,,"22,86"
CAM NORTE,2020 Mar 05 12:00:00 AM,,"18,4"
CAM NORTE,2020 Mar 03 12:00:00 AM,,"15,31"
CAM NORTE,2020 Feb 29 12:00:00 AM,,"19,76"
CAM NORTE,2020 Feb 26 12:00:00 AM,,"15,08"
CAM NORTE,2020 Feb 23 12:00:00 AM,,"18,32"
CAM NORTE,2020 Feb 20 12:00:00 AM,,"29,12"
CAM NORTE,2020 Feb 17 12:00:00 AM,,"18,26"
